State/ UT Name,Food grains (cereals)-Rice-(Production is Thausand Toones)-2009-10,Food grains (cereals)-Jowar-(Production is Thausand Toones)-2009-10,Food grains (cereals)-Bajra-(Production is Thausand Toones)-2009-10,Food grains (cereals)-Maize-(Production is Thausand Toones)-2009-10,Food grains (cereals)-Ragi-(Production is Thausand Toones)-2009-10,Food grains (cereals)-Small millets-(Production is Thausand Toones)-2009-10,Food grains (cereals)-Wheat-(Production is Thausand Toones)-2009-10,Food grains (cereals)-Barley-(Production is Thausand Toones)-2009-10,Total cereals-(Production is Thausand Toones)-2009-10,Food grains(pulses)-Gram-(Production is Thausand Toones)-2009-10,Food grains(pulses)-Tur-(Production is Thausand Toones)-2009-10,Food grains(pulses)-Other pulses-(Production is Thausand Toones)-2009-10,Food grains(pulses)-Total pulses-(Production is Thausand Toones)-2009-10,Total Food Grains-(Production is Thausand Toones)-2009-10,Oilseeds-Groundnuts-(Production is Thausand Toones)-2009-10,Oilseeds-Sesamum-(Production is Thausand Toones)-2009-10,Oilseeds-Rapeseed and-(Production is Thausand Toones)-2009-10,Oilseeds-Linseed-(Production is Thausand Toones)-2009-10,Oilseeds-Castor seed-(Production is Thausand Toones)-2009-10,Total Oilseeds*-(Production is Thausand Toones)-2009-10,Cotton-(000 Bales)-2009-10,Jute-(000 Bales)-2009-10,Mesta-(000 Bales)-2009-10,Tea-(million kgs)-2009-10,Coffee-(MT)-2009-10,Natural Rubber-(MT)-2009-10,Banana-(000MT)-2009-10,Sugarcane-(000MT)-2009-10,Tobacco-(000MT)-2009-10,Potatoes-(000MT)-2009-10,Black Pepper(P)-(000MT)-2009-10,Chillies (P)-(000MT)-2009-10,Ginger (P)-(000MT)-2009-10,Coconut-(000MT)-2009-10,Turmeric (P)-(000MT)-2009-10,Food grains (cereals)-Rice-(Production is Thausand Toones)-2010-11,Food grains (cereals)-Jowar-(Production is Thausand Toones)-2010-11,Food grains (cereals)-Bajra-(Production is Thausand Toones)-2010-11,Food grains (cereals)-Maize-(Production is Thausand Toones)-2010-11,Food grains (cereals)-Ragi-(Production is Thausand Toones)-2010-11,Food grains (cereals)-Small millets-(Production is Thausand Toones)-2010-11,Food grains (cereals)-Wheat-(Production is Thausand Toones)-2010-11,Food grains (cereals)-Barley-(Production is Thausand Toones)-2010-11,Total cereals-(Production is Thausand Toones)-2010-11,Food grains(pulses)-Gram-(Production is Thausand Toones)-2010-11,Food grains(pulses)-Tur-(Production is Thausand Toones)-2010-11,Food grains(pulses)-Other pulses-(Production is Thausand Toones)-2010-11,Food grains(pulses)-Total pulses-(Production is Thausand Toones)-2010-11,Total Food Grains-(Production is Thausand Toones)-2010-11,Oilseeds-Groundnuts-(Production is Thausand Toones)-2010-11,Oilseeds-Sesamum-(Production is Thausand Toones)-2010-11,Oilseeds-Rapeseed and-(Production is Thausand Toones)-2010-11,Oilseeds-Linseed-(Production is Thausand Toones)-2010-11,Oilseeds-Castor seed-(Production is Thausand Toones)-2010-11,Total Oilseeds-(Production is Thausand Toones)-2010-11,Cotton-(000 Bales)-2010-11,Jute-(000 Bales)-2010-11,Mesta-(000 Bales)-2010-11,Tea-(million kgs)-2010-11,Coffee-(MT)-2010-11,Natural Rubber-(MT)-2010-11,Banana-(000MT)-2010-11,Sugarcane-(000MT)-2010-11,Tobacco-(000MT)-2010-11,Potatoes-(000MT)-2010-11,Black Pepper(P)-(000MT)-2010-11,Chillies (P)-(000MT)-2010-11,Ginger (P)-(000MT)-2010-11,Coconut-(000MT)-2010-11,Turmeric (P)-(000MT)-2010-11,Food grains (cereals)-Rice-(Production is Thausand Toones)-2011-12,Food grains (cereals)-Jowar-(Production is Thausand Toones)-2011-12,Food grains (cereals)-Bajra-(Production is Thausand Toones)-2011-12,Food grains (cereals)-Maize-(Production is Thausand Toones)-2011-12,Food grains (cereals)-Ragi-(Production is Thausand Toones)-2011-12,Food grains (cereals)-Small millets-(Production is Thausand Toones)-2011-12,Food grains (cereals)-Wheat-(Production is Thausand Toones)-2011-12,Food grains (cereals)-Barley-(Production is Thausand Toones)-2011-12,Total cereals-(Production is Thausand Toones)-2011-12,Food grains(pulses)-Gram-(Production is Thausand Toones)-2011-12,Food grains(pulses)-Tur-(Production is Thausand Toones)-2011-12,Food grains(pulses)-Other pulses-(Production is Thausand Toones)-2011-12,Food grains(pulses)-Total pulses-(Production is Thausand Toones)-2011-12,Total Food Grains-(Production is Thausand Toones)-2011-12,Oilseeds-Groundnuts-(Production is Thausand Toones)-2011-12,Oilseeds-Sesamum-(Production is Thausand Toones)-2011-12,Oilseeds-Rapeseed and-(Production is Thausand Toones)-2011-12,Oilseeds-Linseed-(Production is Thausand Toones)-2011-12,Oilseeds-Castorseed-(Production is Thausand Toones)-2011-12,Total Oilseeds-(Production is Thausand Toones)-2011-12,Cotton-(000 Bales)-2011-12,Jute-(000 Bales)-2011-12,Mesta-(000 Bales)-2011-12,Tea-(million kgs)-2011-12,Coffee-(MT)-2011-12,Natural Rubber-(MT)-2011-12,Banana-(000MT)-2011-12,Sugarcane-(000MT)-2011-12,Tobacco-(000MT)-2011-12,Potatoes-(000MT)-2011-12,Black Pepper(P)-(000MT)-2011-12,Chillies (P)-(000MT)-2011-12,Ginger (P)-(000MT)-2011-12,Coconut-(000MT)-2011-12,Turmeric (P)-(000MT)-2011-12,Food grains (cereals)-Rice-(Production is Thausand Toones)-2012-13,Food grains (cereals)-Jowar-(Production is Thausand Toones)-2012-13,Food grains (cereals)-Bajra-(Production is Thausand Toones)-2012-13,Food grains (cereals)-Maize-(Production is Thausand Toones)-2012-13,Food grains (cereals)-Ragi-(Production is Thausand Toones)-2012-13,Food grains (cereals)-Small millets-(Production is Thausand Toones)-2012-13,Food grains (cereals)-Wheat-(Production is Thausand Toones)-2012-13,Food grains (cereals)-Barley-(Production is Thausand Toones)-2012-13,Total cereals-(Production is Thausand Toones)-2012-13,Food grains(pulses)-Gram-(Production is Thausand Toones)-2012-13,Food grains(pulses)-Tur-(Production is Thausand Toones)-2012-13,Food grains(pulses)-Other pulses-(Production is Thausand Toones)-2012-13,Food grains(pulses)-Total pulses-(Production is Thausand Toones)-2012-13,Total Food Grains-(Production is Thausand Toones)-2012-13,Oilseeds-Groundnuts-(Production is Thausand Toones)-2012-13,Oilseeds-Sesamum-(Production is Thausand Toones)-2012-13,Oilseeds-Rapeseed and-(Production is Thausand Toones)-2012-13,Oilseeds-Linseed-(Production is Thausand Toones)-2012-13,Oilseeds-Castorseed-(Production is Thausand Toones)-2012-13,Total Oilseeds-(Production is Thausand Toones)-2012-13,Cotton-(000 Bales)-2012-13,Jute-(000 Bales)-2012-13,Mesta-(000 Bales)-2012-13,Tea-(million kgs)-2012-13,Coffee-(MT)-2012-13,Natural Rubber-(MT)-2012-13,Banana-(000MT)-2012-13,Sugarcane-(000MT)-2012-13,Tobacco-(000MT)-2012-13,Potatoes-(000MT)-2012-13,Black Pepper(P)-(000MT)-2012-13,Chillies (P)-(000MT)-2012-13,Ginger (P)-(000MT)-2012-13,Coconut-(000MT)-2012-13,Turmeric (P)-(000MT)-2012-13,Rice-2013-14,Wheat-2013-14,Jowar-2013-14,Bajra-2013-14,Maize-2013-14,Ragi-2013-14,Small Millets-2013-14,Barley-2013-14,Coarse Cereals-2013-14,Cereals Total-2013-14,Tur-2013-14,Gram-2013-14,Urad-2013-14,Moong Total-2013-14,Other Pulses-2013-14,Pulses Total-2013-14,Food Grains Total-2013-14,Groundnut-2013-14,Castorseed-2013-14,Sesamum-2013-14,Nigerseed-2013-14,Soyabean-2013-14,Sunflower-2013-14,R & M-2013-14,Linseed-2013-14,Safflower-2013-14,Total Oilseeds-2013-14,Sugarcane-2013-14,Cotton*-2013-14,Jute**-2013-14,Mesta**-2013-14,J & M**-2013-14,Guarseed-2013-14,tobacco-2013-14,Sanhemp-2013-14,Tea-2013-14,Coffee(Mn.Kg)-2013-14,Natural Rubber(000 Tonnes)-2013-14,Banana-2013-14,Potato-2013-14,Turmeric--2013-14,Black Pepper-2013-14,Chillies-2013-14,Ginger-2013-14,Coconut-2013-14,Rice-(Th. tonnes)-2014-15,Wheat-(Th. tonnes)-2014-15,Jowar-(Th. tonnes)-2014-15,Bajra-(Th. tonnes)-2014-15,Maize-(Th. tonnes)-2014-15,Ragi-(Th. tonnes)-2014-15,Small Millets Kharif-(Th. tonnes)-2014-15,Barley-(Th. tonnes)-2014-15,Coarse Cereals-(Th. tonnes)-2014-15,Tur-(Th. tonnes)-2014-15,Gram-(Th. tonnes)-2014-15,Urad-(Th. tonnes)-2014-15,Moong-(Th. tonnes)-2014-15,Other Pulses-(Th. tonnes)-2014-15,Pulses-(Th. tonnes)-2014-15,Foodgrains-(Th. tonnes)-2014-15,Groundnut-(Th. tonnes)-2014-15,Castorseed-(Th. tonnes)-2014-15,Sesamum-(Th. tonnes)-2014-15,Nigerseed-(Th. tonnes)-2014-15,Soyabean-(Th. tonnes)-2014-15,Sunflower-(Th. tonnes)-2014-15,R & M-(Th. tonnes)-2014-15,Linseed-(Th. tonnes)-2014-15,Safflower-(Th. tonnes)-2014-15,Total Oilseeds-(Th. tonnes)-2014-15,Sugarcane-(Th. tonnes)-2014-15,Cotton **-(Th. tonnes)-2014-15,Jute ***-(Th. tonnes)-2014-15,Mesta ***-(Th. tonnes)-2014-15,Jute & Mesta***-(Th. tonnes)-2014-15,Tea-(Mkg)-2014-15,Rice-(Th. tonnes)-2015-16,Wheat-(Th. tonnes)-2015-16,Jowar-(Th. tonnes)-2015-16,Bajra-(Th. tonnes)-2015-16,Maize-(Th. tonnes)-2015-16,Ragi-(Th. tonnes)-2015-16,Small Millets Kharif-(Th. tonnes)-2015-16,Barley-(Th. tonnes)-2015-16,Coarse Cereals-(Th. tonnes)-2015-16,Tur-(Th. tonnes)-2015-16,Gram-(Th. tonnes)-2015-16,Urad-(Th. tonnes)-2015-16,Moong-(Th. tonnes)-2015-16,Other Pulses-(Th. tonnes)-2015-16,Pulses-(Th. tonnes)-2015-16,Foodgrains-(Th. tonnes)-2015-16,Groundnut-(Th. tonnes)-2015-16,Castorseed-(Th. tonnes)-2015-16,Sesamum-(Th. tonnes)-2015-16,Nigerseed-(Th. tonnes)-2015-16,Soyabean-(Th. tonnes)-2015-16,Sunflower-(Th. tonnes)-2015-16,R & M-(Th. tonnes)-2015-16,Linseed-(Th. tonnes)-2015-16,Safflower-(Th. tonnes)-2015-16,Total Oilseeds-(Th. tonnes)-2015-16,Sugarcane-(Th. tonnes)-2015-16,Cotton **-(Th. tonnes)-2015-16,Jute ***-(Th. tonnes)-2015-16,Mesta ***-(Th. tonnes)-2015-16,Jute & Mesta***-(Th. tonnes)-2015-16,Tea (P)-(Mkgs)-2015-16,Coffee-(MT)-2015-16
Andhra Pradesh,10538,437,53,2762,53,13,10,NA,13866,846,203,380,1429,15295,1006,20,2,NA,64,1500,3227,NA,192,NA,NA,NA,2820,11708,360,138,NA,831,17,667,364,14418,308,101,3956,50,29,13,NA,18875,720,265,455,1440,20315,1458,26,4,NA,121,1996,5300,NA,224,NA,NA,NA,2775,14964,281,97,NA,638,23,667,467,12895,442,58,3658,40,29,11,NA,17133,520,146,564,1230,18363,844,20,5,NA,52,1265,4900,NA,202,NA,NA,NA,2900,16686,259,98,NA,565,20,1270,485,11510,471,111,4855,45,37,10,NA,17040,762,251,610,1623,18663,1115,21,2,NA,105,1651,7350,NA,128,NA,6,0,3243,15567,268,190,0,685,20,1330,423,12724.71,4,377,78.25,4862.16,46,22,0,5385.41,18114.11,243,843,247,170,48,1551,19665.11,1236,124.16,29,5,395,87,3,0.48,6,1885.64,15385,6956,0,84,84,NA,276,NA,NA,7,0.1,3166.9,51.06,151.91,NA,601.99,1.37,1258.4,7234,NA,286,38,1938,34,14,NA,2310,76,391,298,141,44,950,10494,493,27,28,3,2,40,3,0,1,597,9987,2841,NA,50,50,NA,7490,NA,294,65,1414,34,47,NA,1854,129,500,411,137,51,1228,10572,802,29,14,3,1,23,1,NA,NA,873,9312,2400,NA,41,41,NA,NA
Arunachal Pradesh,216,NA,NA,60,NA,18,5,NA,299,NA,1,9,10,309,NA,1,24,NA,NA,28,NA,NA,NA,4,NA,NA,13,27,NA,32,NA,NA,50,NA,NA,234,NA,NA,65,NA,20,6,NA,325,NA,1,9,9,334,NA,1,24,NA,NA,29,NA,NA,NA,NA,NA,NA,13,29,NA,32,NA,NA,52,NA,NA,255,2,NA,69,NA,22,7,NA,352,NA,1,10,11,363,1,1,28,NA,NA,33,NA,NA,NA,NA,NA,NA,18,30,NA,40,NA,6,53,NA,3,263,NA,NA,68,NA,23,4,NA,359,NA,0,10,11,370,1,NA,24,NA,NA,29,NA,NA,NA,NA,NA,0,18,30,NA,NA,NA,4,57,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Assam,4336,NA,NA,14,NA,3,64,NA,4417,1,4,59,65,4481,NA,7,129,4,1,145,1,715,20,498,NA,NA,805,1059,NA,590,NA,12,108,101,10,4737,NA,NA,14,NA,3,53,NA,4806,1,5,64,70,4876,NA,7,139,4,1,154,#,625,25,480,NA,NA,724,1075,0,738,NA,12,113,101,11,4516,NA,NA,15,NA,3,60,NA,4595,1,4,64,69,4663,NA,7,135,4,1,149,#,608,31,NA,NA,NA,745,994,NA,783,2,13,125,195,13,5129,NA,NA,21,NA,2,44,NA,5196,1,5,79,84,5281,NA,8,170,4,0,187,#,558,25,NA,NA,12,837,1028,0,975,2,16,137,110,15,4927.12,40.44,0,NA,21.62,NA,3.34,NA,24.96,4992.52,5.64,1.43,31.32,7.81,58.11,104.31,5096.83,0,0.45,8.57,4.49,NA,0,168.98,3.85,NA,186.34,1075.17,NA,717.26,29.29,746.55,NA,NA,NA,629.05,NA,13.6,857.72,700.14,15.78,2.01,16.48,122.31,94.02,5223,29,0,NA,93,NA,3,NA,96,6,2,34,8,61,111,5459,0,1,9,4,NA,0,188,4,NA,206,1099,NA,768,26,793,607,5144,35,NA,NA,64,NA,3,NA,67,5,NA,36,9,56,106,5352,NA,1,9,4,NA,NA,167,4,NA,185,1042,NA,866,25,891,653,NA
Bihar,3599,2,3,1479,8,3,4571,13,9678,58,42,372,472,10151,1,2,89,21,NA,145,NA,1118,159,1,NA,NA,1435,5033,17,5387,NA,NA,NA,NA,NA,3102,3,5,1440,7,4,4098,25,8684,60,37,441,538,9222,NA,2,90,21,NA,136,NA,1165,146,NA,NA,NA,1517,12764,21,5784,NA,NA,NA,NA,NA,7163,4,5,1611,9,4,4725,17,13536,77,34,400,511,14047,1,2,93,20,NA,139,NA,1491,248,NA,NA,NA,1581,11289,19,6102,NA,3,1,98,3,7529,3,5,2476,9,2,5357,15,15397,86,47,409,543,15940,1,2,98,19,0,143,NA,1490,228,NA,NA,NA,1702,12741,21,6641,NA,3,1,97,3,5505.85,4738.03,1.31,3,2112.09,7.14,2.09,14.25,2139.88,12383.75,36.46,70.34,14.14,105.37,295.73,522.04,12905.79,0.91,0.15,1.99,NA,NA,19.79,106.14,15.87,1.32,146.17,12881.78,NA,1498.08,247,1745.08,NA,23.01,1.12,NA,NA,NA,1435.78,6536,3,NA,3,0.84,97.33,6357,3987,2,4,2340,10,2,13,2371,29,57,14,100,294,494,13209,1,0,3,NA,NA,17,93,14,0,127,14034,NA,1419,218,1637,NA,6489,4753,2,4,2397,8,2,14,2427,32,60,14,101,222,429,14097,1,0,3,NA,NA,17,92,15,0,128,14676,NA,1312,272,1584,NA,NA
Chhattisgarh,4110,6,NA,143,2,28,122,2,4414,222,31,236,489,4903,39,9,25,12,NA,200,NA,NA,3,NA,NA,NA,296,29,NA,450,NA,NA,NA,NA,NA,6159,9,NA,186,2,34,127,2,6518,242,24,272,538,7056,42,7,21,10,NA,217,#,NA,3,NA,NA,NA,351,22,NA,526,NA,NA,NA,6,NA,6028,NA,NA,172,2,30,133,2,6371,240,23,236,499,6871,38,8,22,15,NA,169,#,NA,3,NA,NA,NA,382,24,NA,579,NA,3,1,6,1,6609,4,NA,208,2,30,141,1,6995,285,32,331,649,7644,35,6,26,9,NA,215,#,NA,3,NA,NA,NA,413,37,NA,649,NA,8,2,8,1,6716.4,134,3.6,0,229.1,1.6,25.1,3.7,263.1,7113.5,31.2,213.2,32.2,3.8,201.7,482.1,7595.6,37.3,NA,5,11.8,93.5,0.3,26.2,11.1,0.2,185.4,22.1,NA,NA,2.2,2.2,NA,NA,0.4,NA,NA,NA,498.81,556.4,0.84,NA,1.65,1.78,15.21,6322,135,4,0,230,2,28,3,267,34,290,31,4,378,737,7461,36,0,8,11,80,0,26,12,0,174,49,NA,NA,2,2,NA,6094,137,4,0,194,1,15,1,216,30,219,30,7,226,512,6959,34,NA,7,10,69,0,22,8,0,150,68,NA,NA,2,2,NA,NA
Goa,101,NA,NA,1,NA,NA,NA,NA,101,NA,NA,9,9,110,8,NA,NA,NA,NA,8,NA,NA,NA,NA,NA,NA,25,52,NA,NA,NA,NA,NA,88,NA,115,NA,NA,NA,NA,NA,NA,NA,115,NA,NA,8,8,123,8,NA,NA,NA,NA,8,NA,NA,NA,NA,NA,NA,25,49,NA,NA,NA,NA,NA,88,NA,122,NA,NA,NA,NA,NA,NA,NA,122,NA,NA,8,8,130,8,NA,NA,NA,NA,8,NA,NA,NA,NA,NA,NA,26,47,NA,NA,NA,NA,NA,89,NA,123,NA,NA,NA,0,NA,NA,NA,123,NA,NA,9,9,132,7,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,1,26,46,NA,NA,0,NA,NA,84,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gujarat,1292,171,828,533,11,57,2352,NA,5244,125,241,151,517,5761,1757,80,341,NA,831,3097,7986,NA,NA,NA,NA,NA,3780,12400,101,1657,NA,42,48,108,25,1497,139,1091,820,14,38,4020,NA,7619,200,273,250,723,8342,3366,127,349,NA,986,4896,10400,NA,NA,NA,NA,NA,3978,13760,281,1882,NA,48,70,108,28,1790,139,1230,786,13,64,4072,NA,8094,273,257,250,780,8874,2717,117,327,NA,1803,5035,12000,NA,NA,NA,NA,NA,4048,12750,279,2396,NA,69,71,218,50,1541,107,1044,791,14,43,2944,NA,6484,168,270,134,572,7056,758,34,361,NA,1493,2705,8850,NA,NA,NA,NA,NA,4523,12690,212,2500,NA,69,71,222,50,1636,4694,175,1209.64,681,14,41,NA,2120.64,8450.64,209,309,55,106,50,729,9179.64,4917.57,1287.86,121,5,44,0,486,NA,9,6870.43,12550,10150,NA,NA,0,312,240,NA,NA,NA,NA,4225.49,2267.38,50.49,NA,68.53,70.65,203.05,1831,3059,196,771,631,16,31,NA,1645,235,199,47,72,21,574,7109,3018,1456,102,5,43,0,263,NA,NA,4887,14330,10500,NA,NA,0,NA,1670,2484,144,790,572,15,26,NA,1547,237,153,43,71,29,533,6233,2358,1313,67,3,54,0,306,NA,NA,4102,12960,9700,NA,NA,NA,NA,NA
Haryana,3625,36,932,27,NA,NA,10500,137,15257,62,23,15,100,15357,2,1,849,NA,1,878,1926,NA,NA,NA,NA,NA,NA,5335,NA,495,NA,NA,NA,NA,NA,3472,36,1185,19,NA,NA,11630,129,16471,110,27,22,159,16630,2,1,942,NA,1,964,1750,NA,NA,NA,NA,NA,NA,6042,NA,598,NA,NA,NA,NA,NA,3759,33,1177,24,NA,NA,12686,153,17832,72,20,35,127,17959,3,2,747,NA,2,771,2650,NA,NA,NA,NA,NA,NA,6959,NA,618,NA,9,8,NA,18,3976,28,785,23,NA,NA,11117,167,16096,53,16,61,130,16226,3,1,962,NA,1,993,2500,NA,NA,NA,NA,NA,NA,7437,NA,676,NA,4,6,NA,24,3998,11800,40,831,27,NA,NA,153,1051,16849,11,75,0.6,33.4,5.05,125.05,16974.05,6.2,0.1,0.7,NA,NA,12,880,NA,NA,899,7499,2302,NA,NA,0,369,NA,NA,NA,NA,NA,NA,696.51,23.84,NA,4.22,5.65,NA,4006,10354,26,670,18,NA,NA,105,819,7,42,1,3,4,56,15235,4,0,1,NA,NA,32,706,NA,NA,743,7169,2300,NA,NA,0,NA,4145,11352,28,652,17,NA,NA,140,837,5,27,1,5,11,48,16382,5,0,1,NA,NA,38,805,NA,NA,849,6510,1350,NA,NA,NA,NA,NA
Himachal Pradesh,106,NA,NA,543,2,2,327,16,996,NA,NA,21,21,1017,NA,0,3,NA,NA,4,NA,NA,NA,1,NA,NA,NA,46,NA,184,NA,NA,NA,NA,NA,129,NA,NA,671,2,3,547,28,1380,1,NA,41,42,1422,1,1,5,NA,NA,8,#,NA,NA,NA,NA,NA,NA,38,NA,206,NA,NA,NA,NA,NA,132,NA,NA,715,3,3,596,30,1480,1,NA,30,31,1510,NA,1,6,NA,NA,9,NA,NA,NA,NA,NA,NA,NA,28,NA,206,NA,0,17,NA,0,125,NA,1,657,3,4,609,36,1435,0,NA,46,46,1481,0,1,5,0,NA,7,#,NA,NA,NA,NA,NA,0,42,NA,181,NA,0,4,NA,0,120.83,670.72,0,0.42,652.09,1.97,3.18,28.19,685.85,1477.41,NA,0.48,3.56,0.1,46.9,51.04,1528.45,0.03,NA,0.65,NA,0.87,0,4.27,0.28,NA,6.1,35.69,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0.29,243.26,0.11,NA,0.2,7.64,NA,125,646,0,0,579,2,3,38,622,0,0,4,0,34,38,1432,NA,NA,1,NA,1,0,5,0,NA,7,38,NA,NA,NA,0,NA,119,679,NA,0,671,2,3,31,707,0,1,13,0,18,32,1537,0,NA,2,NA,1,NA,6,0,NA,9,22,NA,NA,NA,NA,NA,NA
Jammu & Kashmir,497,3,11,487,NA,5,290,8,1301,NA,NA,14,14,1314,NA,2,48,NA,NA,50,NA,NA,NA,NA,NA,NA,NA,0,NA,111,NA,NA,NA,NA,NA,508,NA,10,528,NA,5,446,9,1505,NA,NA,17,17,1522,NA,2,51,NA,NA,53,NA,NA,NA,NA,NA,NA,NA,NA,NA,151,NA,NA,NA,NA,NA,545,NA,11,505,NA,8,500,4,1573,NA,NA,13,13,1586,NA,2,51,1,NA,53,NA,NA,NA,NA,NA,NA,NA,NA,NA,127,NA,1,0,NA,0,818,NA,12,512,4,3,462,7,1818,0,NA,14,14,1832,NA,2,49,0,NA,51,NA,NA,NA,NA,NA,NA,NA,NA,NA,127,NA,1,0,NA,0,610.85,601.88,0,8.39,530.53,2.86,2.41,7.1,551.29,1764.02,NA,NA,5.11,0.78,7.96,13.85,1777.87,0.09,NA,2.15,NA,NA,0,56.43,0.15,NA,58.82,0.02,NA,NA,NA,0,NA,NA,0.03,NA,NA,NA,NA,127.24,0.02,NA,0.54,0.04,NA,517,314,0,9,360,4,2,4,380,NA,NA,4,0,5,9,1220,0,NA,2,NA,NA,0,39,0,NA,40,2,NA,NA,NA,0,NA,416,497,0,10,479,4,1,4,499,NA,0,0,1,10,10,1423,0,NA,2,0,NA,NA,38,0,NA,40,2,NA,NA,NA,NA,NA,NA
